MessageProcessed,Tags
porque tá cobrando taxas no avista ?,CONJ INT VERB SUBS PREP VERB PON
faturamento minimo valor de NUMBER por exemplo não paga taxa é isso,SUBS SUBS SUBS PREP NUM PREP SUBS ADV VERB SUBS VERB PRON
seria a primeira opção ?,VERB ART ADJ SUBS PON
e hoje acabou de chegar outro o pedido e NUMBER esse pode cancelar,CONJ ADV VERB PREP VERB PRON ART SUBS CONJ NUM PRON VERB VERB
será possível a autorização pra consulta ?,VERB ADJ ART SUBS PREP SUBS PON
a prestação ficaria maior ? ?,ART SUBS VERB ADJ PON PON
eu fazendo a portabilidade eu ganho mais um giga durante NUMBER meses ?,PRON VERB ART SUBS PRON VERB ADV ART SUBS PREP NUM SUBS PON
já estou com taxa em NUMBER dias,ADV VERB PREP SUBS PREP NUM SUBS
posso pega hoje esse de NUMBER,VERB VERB ADV PRON PREP NUM
mas há algum custo extra ?,CONJ VERB PRON SUBS ADJ PON
bom dia ! gostaria de falar com um atendente !,ADJ SUBS PON VERB PREP VERB PREP ART SUBS PON
quero comprar a minizinha chip NUMBER mas não estou conseguindo,VERB VERB ART SUBS SUBS NUM CONJ ADV VERB VERB
o lote da etiqueta é NUMBER,ART SUBS PREP SUBS VERB NUM
a adesão foi em setembro de NUMBER e não consigo acessar,ART SUBS VERB PREP SUBS PREP NUM CONJ ADV VERB VERB
vai demorar ? estou com o cliente na loja,VERB VERB PON VERB PREP ART SUBS PREP SUBS
posso trocar esse produto ?,VERB VERB PRON SUBS PON
NUMBER marilza maria da silva,NUM SUBS SUBS PREP SUBS
código da transação e NUMBER,SUBS PREP SUBS CONJ NUM
posso cadastrar o débito em conta no futuro com valor menor ?,VERB VERB ART SUBS PREP VERB PREP ADJ PREP SUBS ADJ PON
não estou conseguindo usar a margem de NUMBER,ADV VERB VERB VERB ART SUBS PREP NUM
ai vai fazer no cpf,INT VERB VERB PREP SUBS
olá alguma fatura em aberto ?,INT PRON SUBS PREP ADJ PON
qual número da pag seguro,INT SUBS PREP SUBS ADJ
"quero cancelar minha linha , qual procedimento ?",VERB VERB PRON SUBS PON INT SUBS PON
o cnpj da ficha é CNPJ,ART SUBS PREP SUBS VERB SUBS
eu não consigo por a opção de parcelamento ?,PRON ADV VERB PREP ART SUBS PREP SUBS PON
quero diminuir o valor da minha conta,VERB VERB ART SUBS PREP PRON VERB
posso tirar oura duvida ?,VERB VERB ADJ VERB PON
pode ser feito em cheque ?,VERB VERB ADJ PREP SUBS PON
no débito pra ter NUMBER de desconto,PREP SUBS PREP VERB NUM PREP SUBS
esse aplicativo e da pagseguro ?,PRON SUBS CONJ PREP SUBS PON
estou com site no ar faz NUMBER dia,VERB PREP SUBS PREP SUBS VERB NUM SUBS
quero copia do contrato NUMBER via email,VERB VERB PREP SUBS NUM SUBS SUBS
fica em qual lugar ?,VERB PREP INT VERB PON
gostaria de acompanhar o andamento do meu pedido,VERB PREP VERB ART SUBS PREP PRON SUBS
"nenhuma dessas opções posso pagar , e agora ?",PRON PRON SUBS VERB VERB PON CONJ ADV PON
quero pagar a parcela de mês NUMBER qual valor atual ?,VERB VERB ART SUBS PREP SUBS NUM INT SUBS ADJ PON
ele pode voltar a funcionar ?,PRON VERB VERB ART VERB PON
chegou a mim o boleto anterior,VERB ART PRON ART SUBS ADJ
"o boleto vai ter o valor descontado , não é isso ?",ART SUBS VERB VERB ART SUBS VERB PON ADV VERB PRON PON
vou pagar algum valor pela máquina ?,VERB VERB PRON SUBS PREP SUBS PON
eu vou tentar em outro laboratório .,PRON VERB VERB PREP PRON SUBS PON
porém o limite dele não volto,CONJ ART VERB PREP ADV VERB
estou aguardando código cartão netflix . desde dia DATE,VERB VERB SUBS SUBS SUBS PON PREP SUBS SUBS
não vou aguardar NUMBER dias !,ADV VERB VERB NUM SUBS PON
e já marquei o horário,CONJ ADV VERB ART ADJ
eu consigo taxa NUMBER ?,PRON VERB SUBS NUM PON
mas eu paguei a NUMBER parcela,CONJ PRON VERB ART NUM SUBS
vou ver e qualquer coisa entro em contato,VERB VERB CONJ PRON SUBS VERB PREP SUBS
ligo no bradesco eles pedem . o número da conta e eu não tenho,VERB PREP SUBS PRON VERB PON ART SUBS PREP VERB CONJ PRON ADV VERB
qual o valor da diária de um gol por exemplo com ar ?,INT ART SUBS PREP ADJ PREP ART INT PREP SUBS PREP SUBS PON
qual o menor valor ? faz por NUMBER ?,INT ART ADJ SUBS PON VERB PREP NUM PON
qual aplicativo posso acessar pra facilitar ?,INT SUBS VERB VERB PREP VERB PON
olá bom dia queria esclarecer uma dúvida ?,INT ADJ SUBS VERB VERB ART SUBS PON
é o contrato do valor de NUMBER,VERB ART SUBS PREP SUBS PREP NUM
"pode contar , sim . obrigada",VERB VERB PON INT PON ADJ
retirada em NUMBER de agosto de NUMBER,VERB PREP NUM PREP SUBS PREP NUM
tentei ativar ontem também não consegui,VERB VERB ADV ADV ADV VERB
eu enviei no dia DATE com protocolo NUMBER,PRON VERB PREP SUBS SUBS PREP SUBS NUM
"em nenhum momento , em nenhuma data o relatório me trás as informações . todos os campos vem vazios ,",PREP PRON SUBS PON PREP PRON SUBS ART SUBS PRON PREP ART SUBS PON PRON ART SUBS VERB ADJ PON
gostaria de desbloquear o meu cartão pagseguro,VERB PREP VERB ART PRON SUBS SUBS
mais não é taxa zero ?,ADV ADV VERB SUBS NUM PON
"olá , acabei de receber o meu cartão ! deste modo , agradeço pela retorno obtido anteriormente !",INT PON VERB PREP VERB ART PRON SUBS PON VERB SUBS PON VERB PREP VERB VERB ADV PON
"valor NUMBER , está no código",SUBS NUM PON VERB PREP SUBS
joelma vital silva candido NUMBER NUMBER,SUBS ADJ SUBS SUBS NUM NUM
já foi feito isso .,ADV VERB ADJ PRON PON
tirei e coloquei o chip e agora funcionou .,VERB CONJ VERB ART SUBS CONJ ADV VERB PON
pode finalizar por favor .,VERB VERB PREP SUBS PON
bom dia . . eu não consigo ativar a maquininha,ADJ SUBS PON PON PRON ADV VERB VERB ART SUBS
"porra , já falei , não sou carlos , da próxima vou processar o itau .",SUBS PON ADV VERB PON ADV VERB SUBS PON PREP ADJ VERB VERB ART SUBS PON
faz tempo as vezes aparece,VERB SUBS ART SUBS VERB
eu não encontro essa área de cliente,PRON ADV VERB PRON SUBS PREP SUBS
"ah sim , robô e horrível",INT INT PON SUBS CONJ ADJ
falei com alguém da caixa protocolo NUMBER no dia DATE,VERB PREP PRON PREP SUBS SUBS NUM PREP SUBS SUBS
não tem pra o dia NUMBER de cada mes ?,ADV VERB PREP ART SUBS NUM PREP PRON SUBS PON
ajudou sim queria fazer a cotação,VERB INT VERB VERB ART SUBS
agora não tenho mais dúvidas . obrigada,ADV ADV VERB ADV SUBS PON ADJ
retirada as NUMBER devolução as NUMBER,VERB ART NUM SUBS ART NUM
e o passaporte mundo ?,CONJ ART SUBS SUBS PON
"sou silvânia , esposa do rodrigo da rocha rodrigues",VERB SUBS PON SUBS PREP SUBS PREP SUBS SUBS
o modem funciona em qualquer lugar ?,ART SUBS VERB PREP PRON VERB PON
eu estou cansada de aguardar desde outubro já deu mais de NUMBER dias úteis .,PRON VERB ADJ PREP VERB PREP SUBS ADV VERB ADV PREP NUM SUBS ADJ PON
eu gostaria de trocar de titular .,PRON VERB PREP VERB PREP ADJ PON
eu quero falar sobre cartão de crédito,PRON VERB VERB PREP SUBS PREP SUBS
você poderia ligar lá ?,PRON VERB VERB ADV PON
as minhas maquinas estão com defeito .,ART PRON SUBS VERB PREP SUBS PON
NUMBER de setembro de NUMBER . DATE,NUM PREP SUBS PREP NUM PON SUBS
o dinheiro depositado não entrou na conta,ART SUBS VERB ADV VERB PREP VERB
mais alguma outra informação ?,ADV PRON PRON SUBS PON
vou em cadastrar ou logar ?,VERB PREP VERB CONJ VERB PON
altera muita coisa ? tipo taxas,VERB PRON SUBS PON SUBS SUBS
sim esse eu sei . . .,INT PRON PRON VERB PON PON PON
pra ficar de NUMBER de julho a NUMBER de agosto,PREP VERB PREP NUM PREP SUBS ART NUM PREP SUBS
esse cpf é inexistente não é o meu,PRON SUBS VERB ADJ ADV VERB ART PRON
atendimento rápido e respostas corretas . grata,SUBS ADJ CONJ SUBS ADJ PON ADJ
"bom dia ! me ligue , por favor !",ADJ SUBS PON PRON VERB PON PREP SUBS PON
gostaria de começar com um frasco .,VERB PREP VERB PREP ART SUBS PON
"eu quero tirar uma dúvida , você pode me ajudar ?",PRON VERB VERB ART SUBS PON PRON VERB PRON VERB PON
não tenho máquina eu quero fazer o pedido de um cartão de crédito,ADV VERB SUBS PRON VERB VERB ART SUBS PREP ART SUBS PREP SUBS
pra está disponível . pra transferência,PREP VERB ADJ PON PREP SUBS
o vencimento do meu carro e no dia NUMBER,ART SUBS PREP PRON SUBS CONJ PREP SUBS NUM
ou transferência bancária do valor,CONJ SUBS ADJ PREP SUBS
pode ser isso ou uma conta de consumo no nome dos pais ?,VERB VERB PRON CONJ ART VERB PREP SUBS PREP SUBS PREP SUBS PON
já foi aprovado o pagamento ?,ADV VERB VERB ART SUBS PON
tentei colocar crédito semanal não aceitou NUMBER NUMBER NUMBER,VERB VERB SUBS ADJ ADV VERB NUM NUM NUM
estou precisando locar um carro ?,VERB VERB VERB ART SUBS PON
não encontro vôo CODE minhas cotação,ADV VERB SUBS SUBS PRON SUBS
eu agradeço pelo cancelamento .,PRON VERB PREP SUBS PON
pagamento no dinheiro pode ser feito amanhã o aluguel ?,SUBS PREP SUBS VERB VERB ADJ ADV ART SUBS PON
e verifica essa itau NUMBER também por favor,CONJ VERB PRON SUBS NUM ADV PREP SUBS
cobrarão a mais a recarga,VERB ART ADV ART SUBS
a minha transferência está em análise,ART PRON SUBS VERB PREP SUBS
não atendem . . . tem outro número,ADV VERB PON PON PON VERB PRON SUBS
tem alguém pra me atender aí . . . . ? ? ? ?,VERB PRON PREP PRON VERB ADV PON PON PON PON PON PON PON PON
no dia NUMBER qual o horário pra retirada e qual o local ?,PREP SUBS NUM INT ART ADJ PREP VERB CONJ INT ART ADJ PON
já liguei . . . cai no atendimento virtual,ADV VERB PON PON PON VERB PREP SUBS ADJ
não enviaram a ela ?,ADV VERB ART PRON PON
ou é empréstimo pessoal ?,CONJ VERB SUBS ADJ PON
ela serve pra isso ?,PRON VERB PREP PRON PON
tive um problema com meu dinheiro,VERB ART SUBS PREP PRON SUBS
meu nome é igor telefone NUMBER,PRON SUBS VERB SUBS SUBS NUM
necessito a nota fiscal da fatura NUMBER,VERB ART SUBS ADJ PREP SUBS NUM
mais de NUMBER no nome de jonas silva de souza,ADV PREP NUM PREP SUBS PREP SUBS SUBS PREP SUBS
já consultei o código do consumidor,ADV VERB ART SUBS PREP ADJ
dúvidas sobre o pedido .,SUBS PREP ART SUBS PON
da não outra operadora tá de NUMBER,PREP ADV PRON SUBS INT PREP NUM
minha máquina CODE está com problemas,PRON SUBS SUBS VERB PREP SUBS
sim . mas eu não consigo pagar a parcela sem juros e multa ! ?,INT PON CONJ PRON ADV VERB VERB ART SUBS PREP SUBS CONJ SUBS PON PON
já sai da casa do cliente faz tempo,ADV VERB PREP VERB PREP SUBS VERB SUBS
"não tenho número do pedido , entendeu ?",ADV VERB SUBS PREP SUBS PON VERB PON
olá meu nome é aline,INT PRON SUBS VERB SUBS
"favor , liberar o sinal .",SUBS PON VERB ART SUBS PON
já utilizei NUMBER cartões de crédito diferentes,ADV VERB NUM SUBS PREP SUBS ADJ
meu valor é NUMBER mensal,PRON SUBS VERB NUM ADJ
eu fiz um agendamento pra pegar um veículo hoje as TIME,PRON VERB ART SUBS PREP VERB ART SUBS ADV ART SUBS
estou tentando transferir um dinheiro e não da,VERB VERB VERB ART SUBS CONJ ADV PREP
bom dia meu chip está bloqueado e já foi paga a conta,ADJ SUBS PRON SUBS VERB SUBS CONJ ADV VERB VERB ART VERB
agradeço o atendimento e as dívidas,VERB ART SUBS CONJ ART SUBS
o livro vai ser entregue,ART SUBS VERB VERB VERB
"sim , eu recebi isso",INT PON PRON VERB PRON
gostaria de contratar um pacote mais em conta,VERB PREP VERB ART SUBS ADV PREP VERB
"meu telefone é nextel , quero sair deles",PRON SUBS VERB SUBS PON VERB VERB PREP
ou em conta poupança ?,CONJ PREP VERB SUBS PON
o sem fidelidade de NUMBER,ART PREP SUBS PREP NUM
"fiz uma reserva , minha habilitação vencerá amanhã",VERB ART SUBS PON PRON SUBS VERB ADV
e queria um cartão de crédito pelo menor de NUMBER,CONJ VERB ART SUBS PREP SUBS PREP ADJ PREP NUM
mas a parcela vence dia DATE,CONJ ART SUBS VERB SUBS SUBS
mas o cancelamento somente pelo telefone ?,CONJ ART SUBS ADV PREP SUBS PON
já respondi NUMBER vezes isso,ADV VERB NUM SUBS PRON
mas com fixo também ?,CONJ PREP ADJ ADV PON
algo em torno de NUMBER pontos,PRON PREP VERB PREP NUM SUBS
me desculpe a data é NUMBER NUMBER,PRON INT ART SUBS VERB NUM NUM
porque não gerou a senha token,CONJ ADV VERB ART SUBS SUBS
"eva , não estou conseguindo liberar o acesso do milionário com ações .",SUBS PON ADV VERB VERB VERB ART VERB PREP ADJ PREP SUBS PON
"sim , tem umas perdas de sinal , mas funciona",INT PON VERB ART SUBS PREP SUBS PON CONJ VERB
obrigada . não estou interessada em promoções,ADJ PON ADV VERB ADJ PREP SUBS
clarice ferreira da conceicao NUMBER,SUBS SUBS PREP SUBS NUM
e eu já fiz os procedimentos de segurança anteriormente,CONJ PRON ADV VERB ART SUBS PREP SUBS ADV
eu fiz um pedido de máquina,PRON VERB ART SUBS PREP SUBS
porque está cobrando maquina na minha conta pagbank paguei com outro cartão,CONJ VERB VERB SUBS PREP PRON VERB SUBS VERB PREP PRON SUBS
eu indo na agência pode ser mais rápido ?,PRON VERB PREP SUBS VERB VERB ADV ADJ PON
sim mas estou no prazo aguardando NUMBER minutos,INT CONJ VERB PREP SUBS VERB NUM SUBS
sim . . mais vocês ficarão de mim dar respostas no dia NUMBER,INT PON PON ADV PRON VERB PREP PRON VERB SUBS PREP SUBS NUM
NUMBER ver por favor esse andamento santander,NUM VERB PREP SUBS PRON SUBS SUBS
porque eu não consigo acessar minha conta pela internet .,CONJ PRON ADV VERB VERB PRON VERB PREP SUBS PON
"e agendar uma consulta , por favor !",CONJ VERB ART SUBS PON PREP SUBS PON
em alguma categoria vocês tem carro CODE,PREP PRON SUBS PRON VERB SUBS SUBS
vou vê uma maneira de cancelar essa operadora .,VERB VERB ART SUBS PREP VERB PRON SUBS PON
eu vou entrar com medio judicial,PRON VERB VERB PREP ADJ ADJ
pode me passar um orçamento ? ?,VERB PRON VERB ART SUBS PON PON
mas está bom . . vou aguardar,CONJ VERB ADJ PON PON VERB VERB
podem me ligar neste numero ?,VERB PRON VERB PREP SUBS PON
"já fiz isso , mas gostaria de cancelar o pedido",ADV VERB PRON PON CONJ VERB PREP VERB ART SUBS
rafael de barros paiva NUMBER PHONE,SUBS PREP SUBS SUBS NUM SUBS
meu número é da nextel,PRON SUBS VERB PREP SUBS
eu não consigo falar com ninguém porque desligam na minha cara,PRON ADV VERB VERB PREP PRON CONJ VERB PREP PRON ADJ
sim . . internet e tv também,INT PON PON SUBS CONJ SUBS ADV
não consigo efetuar a transferência,ADV VERB VERB ART SUBS
hoje tenho NUMBER gigas e pago NUMBER,ADV VERB NUM SUBS CONJ VERB NUM
o chip da maquininha vem sem internet ?,ART SUBS PREP SUBS VERB PREP SUBS PON
sem ser no cartão de crédito mais em boleto mensal,PREP VERB PREP SUBS PREP SUBS ADV PREP SUBS ADJ
tenho uma dívida com o bv e gostaria de pagar,VERB ART SUBS PREP ART SUBS CONJ VERB PREP VERB
já paguei e continua cobrando . . .,ADV VERB CONJ VERB VERB PON PON PON
olá já fiz meu pagamento,INT ADV VERB PRON SUBS
"graças a deus , sim",SUBS ART SUBS PON INT
você é uma pessoa ou um robô de respostas automáticas ?,PRON VERB ART SUBS CONJ ART SUBS PREP SUBS ADJ PON
tem outras opções por aí !,VERB PRON SUBS PREP ADV PON
obrigada tenha um bom dia,ADJ VERB ART ADJ SUBS
bom dia gostaria de pegar a minha NUMBER via,ADJ SUBS VERB PREP VERB ART PRON NUM SUBS
"ola , referente a amazon ? não recebi o email",INT PON ADJ ART SUBS PON ADV VERB ART SUBS
já foi feito a portabilidade mas não consigo desbloquear o chip,ADV VERB ADJ ART SUBS CONJ ADV VERB VERB ART SUBS
esse é o meu . . .,PRON VERB ART PRON PON PON PON
celina rosa da silva cpf NUMBER contrato NUMBER,SUBS ADJ PREP SUBS SUBS NUM SUBS NUM
estou tentando entrar no mercantil e não consigo,VERB VERB VERB PREP ADJ CONJ ADV VERB
está dando falha na ativação . . falha CODE,VERB VERB ADJ PREP SUBS PON PON ADJ SUBS
bom dia solicitação de antecipação automática,ADJ SUBS SUBS PREP SUBS ADJ
mas esse número da minha esposa,CONJ PRON SUBS PREP PRON SUBS
"pedro , bom dia ! me desculpe , mas ontem não consegui fazer os seguros . podemos fazer hoje ?",SUBS PON ADJ SUBS PON PRON INT PON CONJ ADV ADV VERB VERB ART ADJ PON VERB VERB ADV PON
próximo ao posto rio NUMBER,ADJ PREP ADJ SUBS NUM
tenho um chip da tim gostaria de fazer portabilidade com vocês,VERB ART SUBS PREP SUBS VERB PREP VERB SUBS PREP PRON
consigo retirar o chip em alguma loja ?,VERB SUBS ART SUBS PREP PRON SUBS PON
qual o valor do depósito de segurança por favor ?,INT ART SUBS PREP SUBS PREP SUBS PREP SUBS PON
"vou colocar pra carregar , um momento",VERB VERB PREP VERB PON ART SUBS
você fez cpf separado ? ?,PRON VERB SUBS ADJ PON PON
"sim , mas qual a situação do contrato ?",INT PON CONJ INT ART SUBS PREP SUBS PON
poderia me ajudar pelo amor de deus ? ? ?,VERB PRON VERB PREP SUBS PREP SUBS PON PON PON
não consigo pagar com o não envie por e-mail,ADV VERB VERB PREP ART ADV VERB PREP SUBS
denise gostaria de um aparelho pra minha empresa,SUBS VERB PREP ART SUBS PREP PRON SUBS
já foi feito o pagamento no dia DATE no bradesco .,ADV VERB ADJ ART SUBS PREP SUBS SUBS PREP SUBS PON
estamos fazendo portabilidade pelo safra ?,VERB VERB SUBS PREP SUBS PON
"ou cada transferência , ted saque . cada um é cobrado a parte ?",CONJ PRON SUBS PON SUBS SUBS PON PRON ART VERB VERB ART VERB PON
tem desconto os NUMBER megas ?,VERB SUBS ART NUM SUBS PON
mas não chegou pra mim,CONJ ADV VERB PREP PRON
quero adiantar uma parcela da minha dívida,VERB VERB ART SUBS PREP PRON SUBS
bom dia solicito meu boleto !,ADJ SUBS VERB PRON SUBS PON
e quero ter aceso ao meu perfil,CONJ VERB VERB ADJ PREP PRON SUBS
"estou em contato com as outras pessoas , aguarde mais alguns instantes",VERB PREP SUBS PREP ART PRON SUBS PON VERB ADV PRON ADJ
tem pessoas perguntando sobre os produtos querendo comprar e não estou conseguindo atender,VERB SUBS VERB PREP ART SUBS VERB VERB CONJ ADV VERB VERB VERB
"não tenho , e agora ?",ADV VERB PON CONJ ADV PON
mas aí não vou conseguir pagar hoje :,CONJ ADV ADV VERB VERB VERB ADV PON
"não entendi , pelo fone não consigo ter acesso a essa informação",ADV VERB PON PREP SUBS ADV VERB VERB VERB ART PRON SUBS
"rua alcides marques , bairro santa helena , NUMBER , casa",INT SUBS SUBS PON SUBS ADJ SUBS PON NUM PON VERB
e no extrato não tem nenhum depósito,CONJ PREP SUBS ADV VERB PRON SUBS
e comprando o aparelho junto ?,CONJ VERB ART SUBS ADJ PON
confirmação da migração da linha NUMBER,SUBS PREP SUBS PREP SUBS NUM
está no aviso de vocês,VERB PREP VERB PREP PRON
a fatura não sobre por NUMBER meses ?,ART SUBS ADV PREP PREP NUM SUBS PON
fiz a cotação ontem e me passaram o valor de NUMBER,VERB ART SUBS ADV CONJ PRON VERB ART SUBS PREP NUM
meu saldo está faltando ?,PRON SUBS VERB VERB PON
uso mais zap mais faço ligações,VERB ADV SUBS ADV VERB SUBS
o produto é entregue pelos correios ?,ART SUBS VERB VERB PREP SUBS PON
qual é meu limite disponível ?,INT VERB PRON VERB ADJ PON
obrigada mas não me interessa,ADJ CONJ ADV PRON VERB
esse boleto e a NUMBER parcela,PRON SUBS CONJ ART NUM SUBS
a atual está pra pessoa física,ART ADJ VERB PREP SUBS ADJ
porque não consigo pagar conta pelo app ?,CONJ ADV VERB VERB VERB PREP SUBS PON
o de MEASURE sai por NUMBER,ART PREP SUBS VERB PREP NUM
estou em débito com vocês,VERB PREP SUBS PREP PRON
meu pedido foi entregue incompleto na loja .,PRON SUBS VERB VERB ADJ PREP SUBS PON
minhas desculpas por ter faltado o exame hoje .,PRON SUBS PREP VERB VERB ART SUBS ADV PON
"olá , minha conta está suspensa",INT PON PRON VERB VERB ADJ
saldo do meu cartão . ?,SUBS PREP PRON SUBS PON PON
a do mês NUMBER vence hoje,ART PREP SUBS NUM VERB ADV
não estou recebendo token pra realizar transferência,ADV VERB VERB SUBS PREP VERB SUBS
qual o tempo pra transferência cair na conta,INT ART SUBS PREP SUBS VERB PREP VERB
porque NUMBER gb não me atende,CONJ NUM SUBS ADV PRON VERB
mande o pdf da fatura pois pelo e-mail não recebi .,VERB ART SUBS PREP SUBS CONJ PREP SUBS ADV VERB PON
não . o pedido e PHONE,ADV PON ART SUBS CONJ SUBS
"eu tenho NUMBER preso no site e quero transferir pra minha conta bancária , mais não consigo",PRON VERB NUM ADJ PREP SUBS CONJ VERB VERB PREP PRON VERB ADJ PON ADV ADV VERB
o valor você já saberia me informar ?,ART SUBS PRON ADV VERB PRON VERB PON
"sim , nome . sonia maria de oliveira",INT PON SUBS PON SUBS SUBS PREP SUBS
essa não foi minha pergunta,PRON ADV VERB PRON VERB
"não , qualquer dúvida entro em contato",ADV PON PRON SUBS VERB PREP SUBS
esse é um deles . o outro não saiu comprovante,PRON VERB ART PREP PON ART PRON ADV VERB SUBS
o meu boleto venceu ontem eu posso pagar amanha ?,ART PRON SUBS VERB ADV PRON VERB VERB SUBS PON
será dia DATE no hospital da unimed,VERB SUBS SUBS PREP SUBS PREP SUBS
a conta gera boleto ?,ART VERB VERB SUBS PON
quero abrir uma conta pj . posso emitir boletos por ele,VERB VERB ART VERB SUBS PON VERB VERB SUBS PREP PRON
quero concluir minha contratação !,VERB VERB PRON VERB PON
quero ativar a promoção de NUMBER gb NUMBER minutos . . . . .,VERB VERB ART SUBS PREP NUM SUBS NUM SUBS PON PON PON PON PON
não NUMBER não está funcionando,ADV NUM ADV VERB VERB
mais eu não conseguindo usar mais eu tenho saldo na conta pague seguro de alguma,ADV PRON ADV VERB VERB ADV PRON VERB SUBS PREP VERB VERB ADJ PREP PRON
o meu não dar essa opção,ART PRON ADV VERB PRON SUBS
já resolvi o meu problema,ADV VERB ART PRON SUBS
cliente antiga e tenho senha inss dela,SUBS ADJ CONJ VERB SUBS SUBS PREP
acabei de tentar passar de novo,VERB PREP VERB VERB PREP ADJ
pode realizar o cancelamento fazendo favor,VERB VERB ART SUBS VERB SUBS
mas pode ser mais de um número,CONJ VERB VERB ADV PREP ART SUBS
meu cnpj NUMBER e cpf NUMBER,PRON SUBS NUM CONJ SUBS NUM
porque aconteceu algum problema com ela,CONJ VERB PRON SUBS PREP PRON
é esse o atendimento de vocês ? ? ? ?,VERB PRON ART SUBS PREP PRON PON PON PON PON
wilma da silva oliveira cpf NUMBER,SUBS PREP SUBS SUBS SUBS NUM
NUMBER quero boleto por e mail,NUM VERB SUBS PREP CONJ SUBS
possui sinal da globo na minha cidade ?,VERB SUBS PREP SUBS PREP PRON SUBS PON
gostaria de ver a possibilidade de negociação do contrato em aberto,VERB PREP VERB ART SUBS PREP SUBS PREP SUBS PREP ADJ
"quero fazer um pedido hoje , posso retirar na loja ?",VERB VERB ART SUBS ADV PON VERB SUBS PREP SUBS PON
vou receber NUMBER livros do pedido PHONE,VERB VERB NUM SUBS PREP SUBS SUBS
a a tendente na terça feira,ART ART ADJ PREP SUBS SUBS
acabei de passar a ficha de um cliente,VERB PREP VERB ART SUBS PREP ART SUBS
quero fazer um cancelamento de contrato .,VERB VERB ART SUBS PREP SUBS PON
cpf NUMBER cnh NUMBER cpf NUMBER,SUBS NUM SUBS NUM SUBS NUM
alguma conta não foi paga ?,PRON VERB ADV VERB VERB PON
não tem carros mais baratos ?,ADV VERB SUBS ADV ADJ PON
tenho um valor a receber .,VERB ART SUBS ART VERB PON
e transferências tem algum limite por mês ?,CONJ SUBS VERB PRON VERB PREP SUBS PON
quero vê a proposta .,VERB VERB ART SUBS PON
EMAIL e da lourdes EMAIL,SUBS CONJ PREP SUBS SUBS
"claudia aparecida silva ferreira PHONE , número NUMBER apartamento NUMBER",SUBS SUBS SUBS SUBS SUBS PON SUBS NUM SUBS NUM
vai vencer a primeira parcela dia NUMBER de setembro,VERB VERB ART ADJ SUBS SUBS NUM PREP SUBS
estamos juntos desde de janeiro NUMBER,VERB ADJ PREP PREP SUBS NUM
fiz o refinanciamento do meu carro mais estou sendo cobrado .,VERB ART SUBS PREP PRON SUBS ADV VERB VERB VERB PON
quero a minha fatura do próximo mês de dezembro,VERB ART PRON SUBS PREP ADJ SUBS PREP SUBS
outra coisa há necessidade de eu ter o cartão pagseguro ? ou pelo app consigo fazer a transferência pra outra conta ?,PRON SUBS VERB SUBS PREP PRON VERB ART SUBS SUBS PON CONJ PREP SUBS VERB VERB ART SUBS PREP PRON VERB PON
não achei a função cartões no aplicativo,ADV VERB ART SUBS SUBS PREP SUBS
quero cancelar esse pedido PHONE,VERB VERB PRON SUBS SUBS
quero minha carta de quitação as NUMBER,VERB PRON SUBS PREP SUBS ART NUM
gostaria de outra maquineta NUMBER chips,VERB PREP PRON SUBS NUM SUBS
joão marques neto cpf NUMBER,SUBS SUBS SUBS SUBS NUM
qual a taxa valor ?,INT ART SUBS SUBS PON
mais uma dúvida eu entrei na minha conta e tinha NUMBER disponível ai fiz a transferência foi aprovada mais o valor não caiu na conta,ADV ART SUBS PRON VERB PREP PRON VERB CONJ VERB NUM ADJ INT VERB ART SUBS VERB ADJ ADV ART SUBS ADV VERB PREP VERB
quero o parcelamento de número NUMBER,VERB ART SUBS PREP SUBS NUM
porque meus contratos não consta no site mais ?,CONJ PRON SUBS ADV VERB PREP SUBS ADV PON
mais não inclui fico ?,ADV ADV VERB VERB PON
não estou conseguindo transferir o meu saldo disponível .,ADV VERB VERB VERB ART PRON SUBS ADJ PON
já paguei ontem NUMBER .,ADV VERB ADV NUM PON
mas sim o fixo !,CONJ INT ART ADJ PON
bom dia eu fiz o pedido ontem e vou pagar hoje,ADJ SUBS PRON VERB ART SUBS ADV CONJ VERB VERB ADV
no dia NUMBER você tem disponibilidade,PREP SUBS NUM PRON VERB SUBS
não consigo colocar a data de aniversário,ADV VERB VERB ART SUBS PREP ADJ
no aplicativo mostra um valor de NUMBER e NUMBER,PREP SUBS VERB ART SUBS PREP NUM CONJ NUM
favor me mandar a fatura do mês de março,SUBS PRON VERB ART SUBS PREP SUBS PREP SUBS
cpf CPF final do cartão NUMBER cidade barretos senha recebi por sms,SUBS SUBS ADJ PREP SUBS NUM SUBS SUBS SUBS VERB PREP SUBS
favor desbloquear a linha NUMBER,SUBS VERB ART SUBS NUM
não paguei pelo pag seguro paguei por outra conta bancaria,ADV VERB PREP SUBS ADJ VERB PREP PRON VERB ADJ
"vou alugar amanhã numa locadora pequena , pois não tenho cartão de crédito",VERB SUBS ADV PREP SUBS ADJ PON CONJ ADV VERB SUBS PREP SUBS
alice elem pereira da maia,SUBS SUBS SUBS PREP SUBS
dúvidas sobre taxa e o valor da máquina,SUBS PREP SUBS CONJ ART SUBS PREP SUBS
meu faturamento e de NUMBER,PRON SUBS CONJ PREP NUM
